ID,Name,Position,ADP,Team
1109979,Ja'Marr Chase,WR,1.1851523,CIN
883302,Saquon Barkley,RB,2.3041592,PHI
1069535,Justin Jefferson,WR,3.4527133,MIN
1228244,Bijan Robinson,RB,4.082268,ATL
1214154,Jahmyr Gibbs,RB,5.287112,DET
1062020,CeeDee Lamb,WR,5.7266884,DAL
1379646,Ashton Jeanty,RB,8.110887,LV
1286059,Malik Nabers,WR,8.776466,NYG
1127106,Amon-Ra St. Brown,WR,9.417434,DET
1162128,Puka Nacua,WR,10.097896,LAR
732145,Derrick Henry,RB,11.002956,BAL
830517,Christian McCaffrey,RB,11.348625,SF
1074698,Nico Collins,WR,12.967409,HOU
1286064,Brian Thomas Jr.,WR,13.957603,JAX
1285917,Brock Bowers,TE,16.086565,LV
1218643,Ladd McConkey,WR,17.107117,LAC
1231820,De'Von Achane,RB,17.316797,MIA
1065406,Jonathan Taylor,RB,18.346365,IND
1178741,Drake London,WR,18.643219,ATL
944826,A.J. Brown,WR,20.318966,PHI
868199,Josh Allen,QB,22.542181,BUF
1287923,Bucky Irving,RB,23.042358,TB
944416,Josh Jacobs,RB,23.738577,GB
1108161,Trey McBride,TE,24.855225,ARI
978579,Tee Higgins,WR,25.347126,CIN
877745,Lamar Jackson,QB,26.656775,BAL
836116,Terry McLaurin,WR,27.150158,WAS
1167361,Kyren Williams,RB,28.52375,LAR
1164889,Garrett Wilson,WR,29.256588,NYJ
1123379,Chase Brown,RB,31.74254,CIN
823156,Tyreek Hill,WR,31.892385,MIA
1287828,Marvin Harrison Jr.,WR,32.064922,ARI
1214087,Jaxon Smith-Njigba,WR,32.51502,SEA
1161228,Jayden Daniels,QB,34.870068,WAS
1131012,James Cook,RB,35.04738,BUF
611417,Davante Adams,WR,35.348076,LAR
1173538,Rashee Rice,WR,36.25977,KC
593587,Mike Evans,WR,37.755733,TB
1162537,Breece Hall,RB,38.54207,NYJ
820727,Joe Mixon,RB,40.8975,HOU
878785,Joe Burrow,QB,42.42909,CIN
1399275,Travis Hunter Jr.,WR,43.75912,JAX
877790,DJ Moore,WR,44.122726,CHI
1398572,Omarion Hampton,RB,44.220165,LAC
1326638,Xavier Worthy,WR,44.82594,KC
733672,George Kittle,TE,46.720234,SF
913271,Jalen Hurts,QB,46.95667,PHI
1060262,DeVonta Smith,WR,48.885464,PHI
1380576,Tetairoa McMillan,WR,49.507343,CAR
838878,Courtland Sutton,WR,50.918343,DEN
1172401,RJ Harvey,RB,51.45664,DEN
750846,Alvin Kamara,RB,51.65657,NO
1062047,Chuba Hubbard,RB,53.064854,CAR
945633,DK Metcalf,WR,53.52441,PIT
1175184,Jameson Williams,WR,54.256332,DET
1177053,Zay Flowers,WR,55.6821,BAL
1164402,Kenneth Walker III,RB,56.927704,SEA
1172053,George Pickens,WR,57.037968,DAL
1168926,Sam LaPorta,TE,59.50978,DET
742390,James Conner,RB,61.621826,ARI
835749,Deebo Samuel Sr.,WR,62.663586,WAS
1287837,TreVeyon Henderson,RB,62.755775,NE
884013,Calvin Ridley,WR,63.792805,TEN
946739,David Montgomery,RB,65.23239,DET
835127,Chris Godwin,WR,65.709,TB
1125749,Jaylen Waddle,WR,66.675674,MIA
839031,Patrick Mahomes,QB,67.62728,KC
1383807,Quinshon Judkins,RB,68.90697,CLE
973935,Jerry Jeudy,WR,69.44173,CLE
1214250,Jordan Addison,WR,70.14406,MIN
867009,Jauan Jennings,WR,71.72098,SF
1213727,Rome Odunze,WR,73.18941,CHI
1381902,Kaleb Johnson,RB,74.475204,PIT
741314,Aaron Jones Sr.,RB,75.24285,MIN
448240,Travis Kelce,TE,76.28217,KC
1122592,Chris Olave,WR,76.436134,NO
880151,Jakobi Meyers,WR,77.19095,LV
748070,Baker Mayfield,QB,78.07192,TB
1130603,Khalil Shakir,WR,78.50256,BUF
880398,Tony Pollard,RB,80.46437,TEN
698227,Cooper Kupp,WR,81.05656,SEA
694041,Stefon Diggs,WR,82.45899,NE
923915,T.J. Hockenson,TE,83.418785,MIN
1069808,D'Andre Swift,RB,83.83347,CHI
973966,Brian Robinson Jr.,RB,85.10671,WAS
1161416,Ricky Pearsall,WR,85.113014,SF
1379267,Matthew Golden,WR,87.37447,GB
1161899,Bo Nix,QB,89.12765,DEN
743749,Jonnu Smith,TE,89.96414,MIA
1106832,Isiah Pacheco,RB,90.367386,KC
727837,Jared Goff,QB,91.67807,DET
1123398,Jayden Reed,WR,91.82065,GB
1107034,Brandon Aiyuk,WR,92.63842,SF
879799,Kyler Murray,QB,93.87746,ARI
1229083,Tyler Warren,TE,98.207375,IND
1109708,Tyrone Tracy Jr.,RB,98.52264,NYG
1286445,Caleb Williams,QB,99.22823,CHI
1280316,Cam Skattebo,RB,99.56138,NYG
1287825,Emeka Egbuka,WR,101.11197,TB
1215077,Josh Downs,WR,101.54977,IND
1110681,Justin Fields,QB,101.9241,NYJ
820699,Mark Andrews,TE,102.947975,BAL
1176443,Jaylen Warren,RB,103.00754,PIT
973964,Najee Harris,RB,103.57096,LAC
591816,Dak Prescott,QB,104.89142,DAL
1274492,Jayden Higgins,WR,105.26814,HOU
1121761,Brock Purdy,QB,105.74431,SF
911348,Michael Pittman Jr.,WR,106.73382,IND
749185,Evan Engram,TE,107.802444,DEN
912027,Darnell Mooney,WR,109.92463,ATL
1116001,Jordan Mason,RB,111.749695,MIN
1378821,Colston Loveland,TE,113.153,CHI
910562,Justin Herbert,QB,113.882935,LAC
1164530,Zach Charbonnet,RB,114.717186,SEA
1214633,Tre Harris,WR,115.713715,LAC
1214084,C.J. Stroud,QB,116.45254,HOU
1107881,Javonte Williams,RB,117.43559,DAL
1377732,Luther Burden III,WR,120.26453,CHI
978577,Travis Etienne Jr.,RB,120.51197,JAX
832098,David Njoku,TE,121.19273,CLE
912137,Jordan Love,QB,121.34341,GB
1108208,Rashod Bateman,WR,121.908775,BAL
1286803,Drake Maye,QB,124.221596,NE
1174682,Rhamondre Stevenson,RB,125.16503,NE
1287599,J.J. McCarthy,QB,125.96181,MIN
1378898,Jaydon Blue,RB,127.73493,DAL
1213799,Marvin Mims Jr.,WR,127.904724,DEN
1327169,Bhayshul Tuten,RB,128.68335,JAX
1181874,Tucker Kraft,TE,129.11745,GB
1322431,Keon Coleman,WR,129.28351,BUF
1125111,Isaiah Likely,TE,131.99759,BAL
1286046,Jack Bech,WR,132.45168,LV
1110711,Trevor Lawrence,QB,132.56999,JAX
1135513,Dalton Kincaid,TE,134.62846,BUF
791365,Dallas Goedert,TE,135.65852,PHI
923412,Rashid Shaheed,WR,135.71217,NO
1229343,Rachaad White,RB,137.71063,TB
1123026,Kyle Pitts,TE,138.50294,ATL
865801,Christian Kirk,WR,139.30899,HOU
