id,player,rank,projectedPoints,positionRank,position,team
b24eb93f-72bd-4c23-bed6-807d542bab65,Ja'Marr Chase,1.1,260.2,WR1,WR,CIN
1dad2b6f-6089-4844-8319-6f1eb23b5003,Saquon Barkley,2.4,284.7,RB1,RB,PHI
b42031b0-6abb-4621-90c0-e3f8041f6c9d,Bijan Robinson,3.7,274.7,RB2,RB,ATL
fb2b25a4-b791-4ef0-bc45-41099b503a69,Justin Jefferson,3.7,245.3,WR2,WR,MIN
1b76bd49-ac28-457e-96a6-4b2135c9ff73,CeeDee Lamb,5.1,240.6,WR3,WR,DAL
0ec23474-d4b8-4dcd-9157-b6de1fb8ff84,Jahmyr Gibbs,5.5,273.3,RB3,RB,DET
827b3a04-55f4-4c0e-940f-62be3233dd15,Puka Nacua,8,227.7,WR4,WR,LA
c2ff3b1f-dbc0-4314-986a-3a2c1dc5bf50,Malik Nabers,9,215.7,WR5,WR,NYG
8f217c44-cc37-44a8-84f9-d82cd3fe91ff,Ashton Jeanty,9.3,232.9,RB4,RB,LV
13c991e1-747d-4cbd-9bdb-a5e017bdb77b,Nico Collins,9.8,225.1,WR6,WR,HOU
3ee87ad4-537e-46ac-8cf4-d2bf5f8540ed,Amon-Ra St. Brown,10.7,223.2,WR7,WR,DET
6d89c0c5-4756-43ab-b80f-70fc83e5efa8,Brian Thomas,11.4,221.3,WR8,WR,JAC
baefa551-0611-4836-b43a-1d6c105211b7,Christian McCaffrey,13.3,243.5,RB5,RB,SF
d98df6de-a814-477a-bd9b-b6a747f32ab4,Brock Bowers,14.4,193.2,TE1,TE,LV
9b791eb1-eb3f-4216-87c5-a381fd694aff,Derrick Henry,15.6,262,RB6,RB,BAL
0fd6a099-0696-4aeb-b7c8-bf3c5280db0f,Drake London,16,201.7,WR9,WR,ATL
2eb19695-162b-4d6f-970d-266b3513ddbd,A.J. Brown,17.2,203.2,WR10,WR,PHI
9a97b0b2-fda2-4d87-8392-50b32ea6fcd3,De'Von Achane,18,225.6,RB7,RB,MIA
f41070b3-c28d-4cff-afb4-6bae844edabf,Ladd McConkey,18.8,203,WR11,WR,LAC
a93a8358-f3eb-4a07-9a85-a13a0b2427a2,Jonathan Taylor,21.1,230.9,RB8,RB,IND
d6c8b5b5-c01a-43d4-84b5-cbad5e4a7f21,Trey McBride,21.4,185.5,TE2,TE,ARI
1bc16f8e-964e-4946-b3da-bd7b7fe8731e,Bucky Irving,22.7,243,RB9,RB,TB
43973f1b-ff52-44cd-a5d1-43426587f368,Tee Higgins,23.5,181.2,WR12,WR,CIN
d8aca1d5-8318-4ada-9cf1-18ef1b60b464,Tyreek Hill,24.5,196.5,WR13,WR,MIA
e92d0ab0-3f60-456a-a57f-b689b8107c7a,Jaxon Smith-Njigba,26.1,180.1,WR14,WR,SEA
9ecd270d-e314-466e-8cff-126385d8a9e9,Josh Jacobs,26.2,236.5,RB10,RB,GB
146fb59c-b8ff-414a-86a7-3c2e612a81c0,Garrett Wilson,26.9,181.9,WR15,WR,NYJ
bdbd91c4-8792-4056-a4b1-dabc074aa580,Terry McLaurin,28.6,200.1,WR16,WR,WAS
799eb40c-a66a-4fd8-a8e3-186fc3f20ccb,Marvin Harrison,28.9,174.4,WR17,WR,ARI
48699f93-77e6-48ee-93cc-df880846796f,Kyren Williams,30.9,212.5,RB11,RB,LA
221733f8-7235-4b9e-a2cd-45dad292e33b,Chase Brown,31.8,199.5,RB12,RB,CIN
47f49002-0e7d-4f51-9a15-525ef6397fde,D.J. Moore,32.8,178.6,WR18,WR,CHI
0467ab97-0708-4a95-88ef-124455ac4ac1,Josh Allen,33.3,358.5,QB1,QB,BUF
3bca74ae-aea9-4b96-9cfa-ba6320a9dca6,Davante Adams,34,171.7,WR19,WR,LA
c72e9110-c8be-4bcf-a567-d78c9f3073d1,Mike Evans,35.3,194.8,WR20,WR,TB
c3c29d05-6c66-4726-b2b3-01f5323a8087,Lamar Jackson,36.1,355.8,QB2,QB,BAL
f1e0fe78-af51-4e41-9f58-a8146a69c5a9,Rashee Rice,36.7,173.4,WR21,WR,KC
0f31f57a-5461-4802-811e-f84fde65f9b5,Breece Hall,37.9,203.1,RB13,RB,NYJ
4122e07d-fe79-4816-9292-4f6a94b00cbc,Xavier Worthy,38.2,175.2,WR22,WR,KC
fd373123-6fc9-4e2c-829c-9879ae96caea,Omarion Hampton,40.4,197.4,RB14,RB,LAC
09d74295-61f2-4824-b49b-f1c677be0763,Jayden Daniels,41.3,353.5,QB3,QB,WAS
cf7f210d-aa77-4481-a6ce-def8eb13c4a7,James Cook,42.1,210.1,RB15,RB,BUF
c00d3668-c5ca-41be-bbb3-30e421920276,Tetairoa McMillan,43.1,157.5,WR23,WR,CAR
4bb0512e-9cfd-430d-9742-1fff9f043b18,DeVonta Smith,43.5,169,WR24,WR,PHI
c3a3bd66-d55d-44f7-98f6-78450678fa87,Jameson Williams,45.9,172.9,WR25,WR,DET
655f249b-461d-426c-97c7-efc20870c660,Zay Flowers,46.5,161.2,WR26,WR,BAL
d8c923f8-3ccf-49c2-895a-c58ad280c088,Travis Hunter,48.2,156.8,WR27,WR,JAC
a547b04a-38e6-435e-9f9d-81a34e7aac6c,Jalen Hurts,48.6,345.1,QB4,QB,PHI
08681b3b-8775-4637-84fa-e23da96e59f6,Joe Burrow,49.4,329.5,QB5,QB,CIN
6d78912a-4699-4228-9e18-621c213202a7,George Kittle,50.4,175.9,TE3,TE,SF
7601e2e8-add1-4c8c-b169-b63a49fdf57b,Courtland Sutton,51.2,173,WR28,WR,DEN
be004901-0a0f-41cd-ab83-c0d8d7ad916d,Rome Odunze,51.9,160.6,WR29,WR,CHI
9da4da3d-00e5-494d-9b92-dd875a92a9c1,Joe Mixon,52.9,200.7,RB16,RB,HOU
30669c4d-f918-49b2-9f5b-8bd47016d097,DK Metcalf,53,168.2,WR30,WR,PIT
e04ddd15-a5ab-41e8-82b2-3dfc90a2c893,TreVeyon Henderson,56,159.5,RB17,RB,NE
411b0cfe-9139-43a5-a95c-748758368d75,Jordan Addison,57,166.7,WR31,WR,MIN
506c6382-05b9-4090-ada6-aa977ab6afca,Jaylen Waddle,57.1,150.1,WR32,WR,MIA
2c4e3e6e-667c-44c3-8083-bfd11b1fd7a8,Calvin Ridley,58.4,167.4,WR33,WR,TEN
a8c3cb2b-7728-4ee0-8f89-f218e5e0c409,Chuba Hubbard,58.5,198.3,RB18,RB,CAR
d0d1514c-26e3-405f-84de-8072bc2b0fa7,Chris Godwin,59.9,157.7,WR34,WR,TB
1b2c7c20-e458-454d-be39-7aaebabf1e30,Chris Olave,61.3,152.2,WR35,WR,NO
ffbb0124-5050-4795-b305-591cb44a8490,Kenneth Walker III,62,189.7,RB19,RB,SEA
d2928ec9-ae89-4894-aded-09b6602cf28e,Alvin Kamara,63.6,194.9,RB20,RB,NO
533aaf00-6105-4dc7-9e32-ee6e0e78a66a,Deebo Samuel,64.5,149.9,WR36,WR,WAS
2d542871-3989-447d-89e6-9dcfbd6894e6,Jauan Jennings,65.1,157,WR37,WR,SF
a259e591-fec1-4185-a0b2-43a434cc9f49,Sam LaPorta,66.6,160,TE4,TE,DET
c34084aa-c044-4695-81ee-6328f98c591c,Jerry Jeudy,67.1,159.5,WR38,WR,CLE
513473ee-8e3f-48d1-a0fc-a4f77bc195b9,Quinshon Judkins,67.8,166.2,RB21,RB,CLE
c43f5ce9-2f01-49df-83cb-c198ca9c49c8,James Conner,70,195.5,RB22,RB,ARI
e4bcd565-12d4-4b4c-91b1-1b72541b24e2,David Montgomery,70.4,168.5,RB23,RB,DET
fbc4cce8-3964-402c-a0a6-dbe13b5ebd86,RJ Harvey,70.6,174.3,RB24,RB,DEN
812a947e-6ecc-43ce-9572-ac9da7cc4bcb,Ricky Pearsall,73.2,145.4,WR39,WR,SF
6d09867d-203b-4d91-975c-128125e7cf89,Jakobi Meyers,74,154.7,WR40,WR,LV
53ef4d2b-2f6f-4b63-b1bc-a76c109cf4c4,Matthew Golden,74.7,137.9,WR41,WR,GB
f234f298-dc09-48a1-8198-168a9c25c28c,Jayden Reed,75.5,147.7,WR42,WR,GB
7db4138f-109b-4b32-8c1b-cd51a4c12d1f,George Pickens,75.7,157.2,WR43,WR,PIT
ea213cff-af5a-4902-b17d-14591284ccac,Kaleb Johnson,76.4,135.5,RB25,RB,PIT
4808cc03-7e41-4c33-974f-a1701a98324c,Patrick Mahomes,78.8,320.3,QB6,QB,KC
55ba823b-3e25-4a1d-922d-9c622a052aaf,Khalil Shakir,79.4,138.6,WR44,WR,BUF
